"key","context","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"page.press-kit.title","Page title | Press Kit page","Press Kit","","","","","","","","","",""
"page.press-kit.description","Meta description | Press Kit page","Download {Sushi Ben} logos, screenshots, fact sheet details, trailer links, and press contact information.","","","","","","","","",""
"press.hero.title","Heading | Press Kit hero section","Press Kit","","","","","","","","",""
"press.hero.intro","Body text | Press Kit hero section","is a cozy, anime-inspired narrative adventure about saving a beloved sushi bar from greedy landsharks in Kotobuki Town.","","","","","","","","",""
"press.trailer.title","Iframe title | Press Kit trailer embed","{Sushi Ben} Trailer","","","","","","","","",""
"press.short_description.title","Heading | Press Kit short description section","Short Description","","","","","","","","",""
"press.key_features.title","Heading | Press Kit key features section","Key Features","","","","","","","","",""
"press.logos.title","Heading | Press Kit logos section","Logos","","","","","","","","",""
"press.download_media","Button label | Press Kit media pack download","Download Media Pack","","","","","","","","",""
"press.screenshots.title","Heading | Press Kit screenshots section","Screenshots","","","","","","","","",""
"press.full_description.title","Heading | Press Kit full description section","Full Description","","","","","","","","",""
"press.gameplay_story.title","Heading | Press Kit gameplay and story section","Gameplay + Story","","","","","","","","",""
"press.gameplay_story.item1","Bullet | Press Kit gameplay and story section","Meet and bond with residents through character-driven quests.","","","","","","","","",""
"press.gameplay_story.item2","Bullet | Press Kit gameplay and story section","Take on mini-activities including fishing, archery, and more.","","","","","","","","",""
"press.gameplay_story.item3","Bullet | Press Kit gameplay and story section","Uncover local stories while building momentum to save the sushi bar.","","","","","","","","",""
"press.gameplay_story.item4","Bullet | Press Kit gameplay and story section","Designed for cozy pacing with expressive visuals and strong performances.","","","","","","","","",""
"press.soundtrack.title","Heading | Press Kit soundtrack section","Soundtrack","","","","","","","","",""
"press.soundtrack.embed_title","Iframe title | Press Kit soundtrack embed","{Sushi Ben} soundtrack on Spotify","","","","","","","","",""
"press.fact_sheet.title","Heading | Press Kit fact sheet section","Fact Sheet","","","","","","","","",""
"press.fact_sheet.label_title","Label | Press Kit fact sheet","Title","","","","","","","","",""
"press.fact_sheet.label_developer","Label | Press Kit fact sheet","Developer","","","","","","","","",""
"press.fact_sheet.label_genre","Label | Press Kit fact sheet","Genre","","","","","","","","",""
"press.fact_sheet.value_genre","Value text | Press Kit fact sheet","Narrative Adventure","","","","","","","","",""
"press.fact_sheet.label_modes","Label | Press Kit fact sheet","Modes","","","","","","","","",""
"press.fact_sheet.value_modes","Value text | Press Kit fact sheet","Single Player","","","","","","","","",""
"press.fact_sheet.label_platforms","Label | Press Kit fact sheet","Platforms","","","","","","","","",""
"press.fact_sheet.label_voice_acting","Label | Press Kit fact sheet","Voice Acting","","","","","","","","",""
"press.fact_sheet.value_voice_acting","Value text | Press Kit fact sheet","English, Japanese","","","","","","","","",""
"press.fact_sheet.label_text_languages","Label | Press Kit fact sheet","Text Languages","","","","","","","","",""
"press.fact_sheet.value_text_languages","Value text | Press Kit fact sheet","English, Japanese, Chinese (Simplified), Chinese (Traditional), Korean, German, French, Italian, Spanish, Portuguese (Brazil), Portuguese (Portugal), Danish, Dutch, Norwegian, Polish, Finnish, Swedish, Turkish, Russian, Ukrainian","","","","","","","","",""
"press.fact_sheet.label_press_contact","Label | Press Kit fact sheet","Press Contact","","","","","","","","",""
"press.fact_sheet.label_business_contact","Label | Press Kit fact sheet","Business Contact","","","","","","","","",""
"press.quotes.title","Heading | Press Kit quotes section","Quotes / Press","","","","","","","","",""
"press.team_credits.title","Heading | Press Kit cast and credits section","Cast / Credits","","","","","","","","",""
"press.team_credits.body","Body text | Press Kit cast and credits section","See full team and cast breakdowns on the dedicated pages.","","","","","","","","",""
"press.contact_requests.title","Heading | Press Kit contact and key requests section","Contact / Key Requests","","","","","","","","",""
"press.contact_requests.body","Body text | Press Kit contact and key requests section","Press and creator requests should be submitted through PressEngine.","","","","","","","","",""
"press.contact_requests.cta_submit","Button label | Press Kit PressEngine request button","Submit Request","","","","","","","","",""
"press.contact_requests.cta_contact","Button label | Press Kit general contact button","General Contact","","","","","","","","",""
